Ronda;Mesa;ID-B;ID-N;NoB;NoN;ResB;ResM;Incomparecencia
5;1;3800024;14114470;2;5;0,5;0,5; 
5;2;2800802;14113171;11;3;0,5;0,5; 
5;3;3900410;618438;16;1;0;1; 
5;4;3901211;642274;4;9;0,5;0,5; 
5;5;3503054;4103416;6;17;0,5;0,5; 
5;6;663727;616915;18;7;0,5;0,5; 
5;7;662399;2257459;8;33;0,5;0,5; 
5;8;2205092;3801110;10;35;1;0; 
5;9;2201500;722855;12;36;0,5;0,5; 
5;10;2200678;611190;40;13;0;1; 
5;11;2260735;2202107;14;41;0,5;0,5; 
5;12;2246678;2260409;44;15;0;1; 
5;13;614890;2256088;19;49;1;0; 
5;14;2246848;2259532;52;21;0;1; 
5;15;608688;2616840;24;51;1;0; 
5;16;36000426;2801639;65;27;0,5;0,5; 
5;17;2220270;2262436;71;31;0,5;0,5; 
5;18;639370;26093189;32;79;1;0; 
5;19;634751;625620;34;80;1;0; 
5;20;2200236;605778;20;56;1;0; 
5;21;665274;20661347;22;70;0,5;0,5; 
5;22;2213133;2204100;61;23;0;1; 
5;23;602469;619523;26;64;1;0; 
5;24;622079;22247017;73;28;0,5;0,5; 
5;25;2138298;22235256;68;30;0;1; 
5;26;634581;2219476;38;74;1;0; 
5;27;22270728;600989;78;39;0;1; 
5;28;601845;2256720;42;83;1;0; 
5;29;4643747;2212676;75;45;0;1; 
5;30;650242;2206331;82;47;0;1; 
5;31;620297;624624;81;53;1;0; 
5;32;2214407;2215268;86;37;0;1; 
5;33;2238276;614459;46;88;1;0; 
5;34;2205580;1801171;48;90;0,5;0,5; 
5;35;2224500;613681;50;97;1;0; 
5;36;6900020;13504606;54;99;1;0; 
5;37;2274345;6900348;93;55;0;1; 
5;38;32018568;22245707;96;57;0;1; 
5;39;22245391;32065752;58;101;1;0; 
5;40;2211068;32075359;98;59;0;1; 
5;41;6900089;22245383;60;103;1;0; 
5;42;616257;673609;108;62;0;1; 
5;43;2263980;693022;63;105;1;0; 
5;44;32065930;633720;112;66;0,5;0,5; 
5;45;635278;628816;114;67;0;1; 
5;46;2816776;6900526;69;129;1;0; 
5;47;2252236;624357;116;72;0;1; 
5;48;2264358;2201577;128;76;0;1; 
5;49;2273829;36051209;77;140;1;0; 
5;50;20619898;2221411;118;85;1;0; 
5;51;617083;2222116;84;110;1;0; 
5;52;32082681;200450;111;87;0,5;0,5; 
5;53;3903346;2269279;89;119;1;0; 
5;54;2279045;32041101;94;121;1;0; 
5;55;603007;20682794;126;95;0,5;0,5; 
5;56;20643039;6900100;102;133;1;0; 
5;57;636037;650714;104;138;1;0; 
5;58;975362;22225170;106;141;1;0; 
5;59;26061597;2258030;148;107;1;0; 
5;60;24561550;22244026;163;91;1;0; 
5;61;6900283;6900330;142;92;0,5;0,5; 
5;62;32041764;20668821;100;136;1;0; 
5;63;2269937;20668813;109;137;1;0; 
5;64;20609159;26042380;145;115;0;1; 
5;65;6900364;2299909;146;117;1;0;F
5;66;36020664;20608756;120;143;1;0; 
5;67;36064840;664847;122;147;1;0; 
5;68;664413;32041721;150;123;0;1; 
5;69;6900011;6900780;124;154;0;1; 
5;70;32010052;606057;130;151;1;0; 
5;71;635863;6900607;131;165;1;0; 
5;72;2290413;6900860;132;166;1;0; 
5;73;6900976;26042800;164;135;0;1; 
5;74;32099223;22286489;153;125;0;1; 
5;75;24532495;6900429;155;127;0;1; 
5;76;22234136;604380;134;149;0,5;0,5; 
5;77;32092334;2219930;152;139;0;1; 
5;78;6901018;6900763;159;156;0;1; 
5;79;6900798;24544060;157;162;1;0; 
5;80;24519707;6901069;160;158;0,5;0,5; 
5;81;24562602;0;161;-1;1;1; 
