Ronda;Mesa;ID-B;ID-N;NoB;NoN;ResB;ResM;Incomparecencia
5;1;2214024;2225883;3;8;0;1; 
5;2;2200830;2217562;1;7;0,5;0,5; 
5;3;2207435;2212870;5;10;1;0; 
5;4;22242244;2269473;6;14;1;0; 
5;5;32020619;2255812;18;9;1;0; 
5;6;32044836;2254263;15;2;0,5;0,5; 
5;7;32009712;2278871;26;12;0,5;0,5; 
5;8;22292543;2214407;44;13;1;0; 
5;9;32074336;2212480;21;4;0;1; 
5;10;24516341;2201836;24;11;0;1; 
5;11;22200185;32050496;16;20;1;0; 
5;12;2276658;2242761;17;23;1;0; 
5;13;2265656;2226960;28;19;0,5;0,5; 
5;14;24516350;2264846;30;25;1;0; 
5;15;22254129;32072040;36;27;0;1; 
5;16;24539074;0;32;41;0;1; 
5;17;16205740;24536954;42;33;0;1; 
5;18;24540781;24543390;22;34;1;0; 
5;19;2278294;0;29;38;1;0; 
5;20;0;16205758;39;31;1;0; 
5;21;0;0;43;35;0;1; 
5;22;0;0;37;-1;1;1; 
