Ronda;Mesa;ID-B;ID-N;NoB;NoN;ResB;ResM;Incomparecencia;Res;Mno;ResEloB;ResEloN
3;1;642274;2900017;22;1;0,5;0,5;;0,5:0,5;0;;
3;2;5016690;1010697;2;21;0;1;;0:1;0;;
3;3;14102463;3800024;26;3;0;1;;0:1;0;;
3;4;1503707;2261090;4;23;1;0;;1:0;0;;
3;5;2204100;3901211;28;5;0,5;0,5;;0,5:0,5;0;;
3;6;105309;4644743;6;25;0;0;;0:0;0;;
3;7;6500331;2200015;30;7;0,5;0,5;;0,5:0,5;0;;
3;8;14104369;3900819;8;27;0,5;0,5;;0,5:0,5;0;;
3;9;203882;2209764;10;29;0,5;0,5;;0,5:0,5;0;;
3;10;1200020;3900258;12;31;0,5;0,5;;0,5:0,5;0;;
3;11;2200228;2800705;34;17;0,5;0,5;;0,5:0,5;0;;
3;12;2200325;2801639;18;33;1;0;;1:0;0;;
3;13;3901831;2270544;46;19;0;1;;0:1;0;;
3;14;2800802;1505572;9;35;1;0;;1:0;0;;
3;15;6000118;722901;50;13;0;1;;0:1;0;;
3;16;2203138;2200678;14;45;0,5;0,5;;0,5:0,5;0;;
3;17;2256088;2201500;48;15;0,5;0,5;;0,5:0,5;0;;
3;18;722960;2212676;16;51;1;0;;1:0;0;;
3;19;400106;2297620;20;53;1;0;;1:0;0;;
3;20;104213;24610275;24;57;1;0;;1:0;0;;
3;21;22270728;2207532;80;41;0;1;;0:1;0;;
3;22;2205092;2215250;11;61;1;0;;1:0;0;;
3;23;3900053;24103950;36;77;1;0;;1:0;0;;
3;24;6900348;600989;76;37;0;1;;0:1;0;;
3;25;4405790;2263980;38;81;1;0;;1:0;0;;
3;26;5017173;6900127;78;39;0,5;0,5;;0,5:0,5;0;;
3;27;4404017;2255138;40;83;1;0;;1:0;0;;
3;28;2270692;2278995;82;42;0;1;;0:1;0;;
3;29;22271112;24606812;84;43;0;1;;0:1;0;;
3;30;24605611;2211068;44;86;0,5;0,5;;0,5:0,5;0;;
3;31;210579;2205580;87;47;1;0;;1:0;0;;
3;32;2291495;2262436;92;49;0;1;;0:1;0;;
3;33;22219064;2248735;52;88;1;0;;1:0;0;;
3;34;3901807;2237954;54;91;0;1;;0:1;0;;
3;35;13504606;4117573;93;55;0,5;0,5;;0,5:0,5;0;;
3;36;6900020;2269937;56;94;1;0;;1:0;0;;
3;37;5013550;22244336;58;96;1;0;;1:0;0;;
3;38;2285126;4681410;95;59;1;0;;1:0;0;;
3;39;650749;1017691;60;98;1;0;;1:0;0;;
3;40;2215268;2258030;62;100;1;0;;1:0;0;;
3;41;636037;1701940;97;63;0;1;;0:1;0;;
3;42;2294311;642304;64;102;1;0;;1:0;0;;
3;43;1209582;1201778;99;65;0,5;0,5;;0,5:0,5;0;;
3;44;605093;2267446;66;104;1;0;;1:0;0;;
3;45;2291967;658111;101;67;0;1;;0:1;0;;
3;46;616257;808873;103;69;0;1;;0:1;0;;
3;47;2223287;6900119;70;122;0,5;0,5;;0,5:0,5;0;;
3;48;2210002;32018614;72;124;1;0;;1:0;0;;
3;49;2222116;2219174;105;73;0;1;;0:1;0;;
3;50;1721429;605778;146;75;1;0;;1:0;0;;
3;51;3504190;6900011;32;109;1;0;;1:0;0;;
3;52;2290987;6900089;115;71;0;1;;0:1;0;;
3;53;615552;2051532;74;145;1;0;;1:0;0;;
3;54;22273921;2212200;119;79;1;0;;1:0;0;;
3;55;6900623;2269465;121;106;0;1;;0:1;0;;
3;56;1223550;6900429;107;110;1;0;;1:0;0;;
3;57;32008627;2902451;128;89;0;1;;0:1;0;;
3;58;2283654;26023539;90;129;1;0;;1:0;0;;
3;59;24678139;22241132;130;108;0,5;0,5;;0,5:0,5;0;;
3;60;6900100;22275827;111;131;0;1;;0:1;0;;
3;61;22293965;22236350;132;112;1;0;;1:0;0;;
3;62;2219930;22268820;113;133;1;0;;1:0;0;;
3;63;885851;2290413;134;114;0,5;0,5;;0,5:0,5;0;;
3;64;664847;635863;138;116;0;1;;0:1;0;;
3;65;2264358;6900267;117;135;1;0;;1:0;0;;
3;66;20609159;2261987;140;118;0;1;;0:1;0;;
3;67;32012535;22271279;142;120;0;1;;0:1;0;;
3;68;22229280;664413;123;137;0;1;;0:1;0;;
3;69;835323;6900283;125;139;0;1;;0:1;0;;
3;70;0;32043180;144;126;0;1;;0:1;0;;
3;71;32049072;32061137;127;141;0;1;;0:1;0;;
